Table: Enthalpy [G]
Pressure {Pa} 	 Temperature {K} 	 Specific Enthalpy {J/Kg}
1400000 	 250 	 7.052435e+05
1400000 	 251 	 7.063694e+05
1400000 	 252 	 7.075046e+05
1400000 	 253 	 7.085942e+05
1400000 	 254 	 7.097407e+05
1400000 	 255 	 7.108382e+05
1400000 	 256 	 7.119089e+05
1400000 	 257 	 7.130297e+05
1400000 	 258 	 7.141000e+05
1400000 	 259 	 7.151756e+05
1400000 	 260 	 7.162339e+05
1400000 	 261 	 7.173254e+05
1400000 	 262 	 7.183807e+05
1400000 	 263 	 7.194256e+05
1400000 	 264 	 7.204950e+05
1400000 	 265 	 7.215344e+05
1400000 	 266 	 7.225593e+05
1400000 	 267 	 7.236321e+05
1400000 	 268 	 7.246461e+05
1400000 	 269 	 7.256885e+05
1400000 	 270 	 7.267141e+05
1400000 	 271 	 7.277252e+05
1400000 	 272 	 7.287916e+05
1400000 	 273 	 7.297831e+05
1400000 	 274 	 7.307764e+05
1400000 	 275 	 7.318435e+05
1400000 	 276 	 7.328332e+05
1400000 	 277 	 7.338552e+05
1400000 	 278 	 7.348491e+05
1400000 	 279 	 7.358744e+05
1400000 	 280 	 7.368531e+05
1400000 	 281 	 7.378078e+05
1400000 	 282 	 7.388496e+05
1400000 	 283 	 7.397968e+05
1400000 	 284 	 7.408261e+05
1400000 	 285 	 7.417768e+05
1400000 	 286 	 7.427943e+05
1400000 	 287 	 7.437167e+05
1400000 	 288 	 7.447271e+05
1400000 	 289 	 7.456197e+05
1400000 	 290 	 7.466515e+05
1400000 	 291 	 7.476162e+05
1400000 	 292 	 7.485077e+05
1400000 	 293 	 7.494798e+05
1400000 	 294 	 7.503387e+05
1400000 	 295 	 7.512972e+05
1400000 	 296 	 7.519997e+05
1400000 	 297 	 7.530084e+05
1400000 	 298 	 7.539190e+05
1400000 	 299 	 7.545098e+05
1400000 	 300 	 7.554730e+05
1400000 	 301 	 7.563612e+05
1400000 	 302 	 7.565387e+05
1400000 	 303 	 7.573776e+05
1400000 	 304 	 7.583203e+05
1400000 	 305 	 7.571435e+05
1400000 	 306 	 7.577094e+05
1400000 	 307 	 7.581729e+05
1400000 	 308 	 7.623881e+05
1400000 	 309 	 7.433526e+05
1400000 	 310 	 7.310027e+05
